city,restaurant,wine_section,wine_name
Austin,Group_Therapy,,"PENFOLDS, BIN 389, AUSTRALIA CABERNET-SHIRAZ BLEND 24./84."
Austin,Group_Therapy,,ROLUS SPARKLING HYDRATION 340ML 6.
Austin,Paperboy,,"earl grey tea, milk, vanilla matcha latte   6 chai  5.5COCKTAILS paperboy paloma blanco tequila, grapefruit, rosemary,"
Austin,Paperboy,,"sage advice lemon, sage, rambler, sugar rim  10SPARKLING torre oria brut cava spain  10 / 42"
Austin,Paperboy,,cafe de paris brut rose france  12 / 48
Austin,Nido,wine by the glass,"2 PREMIUM POURS                                           3oz |5oz Chardonnay  Louis Jadot, 1er Cru Pouilly-Fuisse, Burgundy, FR 2021 18 | 29"
Austin,Nido,wine by the glass,"Cabernet Sauvignon  Cakebread , Napa, US, 2021 25 | 42"
Austin,Nido,wine by the glass,"SPARKLING & ROS É Prosecco Jeio, Conegliano Valdobbiadene, Veneto, IT  15"
Austin,Nido,wine by the glass,"Still Rosé Château Coupe Roses, Minervois, FR 18"
Austin,Nido,wine by the glass,"Pinot Grigio  Nals Margreid “Hill” Alto Adige, IT 16"
Austin,Nido,wine by the glass,"Chardonnay  Camille & Laurent Schaller, Chablis, Burgundy, FR 19"
Austin,Nido,wine by the glass,"Sommelier Selection Rotates Weekly MKT RED Pinot Noir North Valley Vineyards, Willamette Valley, US 21"
Austin,Nido,wine by the glass,"Tempranillo Marqués de Murrietta Reserva, Rioja, SP 20"
Austin,Nido,wine by the glass,"Cabernet Sauvignon  Rowen, Sonoma County, US 23"
Austin,Nido,wine by the glass,"Sans-gria hibiscus, pomagranite, n/a sparkling wine12"
Austin,Nido,wine by the glass,Win alcohol removed sparkling wine - Spain12 | 48
Austin,Nido,wine by the glass,"6 Other Sparkling SPARKLING BLANCS Raventos i Blanc Blanc de Blanc  Brut, Penedes, Spain 2022  90"
Austin,Nido,wine by the glass,SPARKLING ROSÉ Lost Draw Pet-Nat  Rosé  Pinot Meunier Texas High Plains 2022  65
Austin,Nido,wine by the glass,"Le Puy Rose-Marie, Francs-Côtes-de-Bordeaux,  France 2021  185"
Austin,Nido,wine by the glass,"7 New World whites OREGON CHARDONNAY Evening Land “Seven Springs” Eola-Amity Hills, 2021                                         98"
Austin,Nido,wine by the glass,"NORTH COAST CHARDONNAY Hirsch Vineyards, Sonoma Coast, 2021   195"
Austin,Nido,wine by the glass,"NAPA VALLEY CHARDONNAY Heitz Cellar “Quartz Creek” , 2019   189"
Austin,Nido,wine by the glass,"CENTRAL COAST CHARDONNAY Donnachadh Estate  Santa Rita Hills, 2019   155"
Austin,Nido,wine by the glass,"NEW ZEALAND Pyramid Valley Chardonnay, Cantebury, New Zealand, 2018   115"
Austin,Nido,wine by the glass,"Gladstone “Urlar” Sauvignon Blanc, New Zealand, 2019   72"
Austin,Nido,wine by the glass,De Forville Ca’ del Buc’ Chardonnay Piedmont 2023   68
Austin,Nido,wine by the glass,"OTHER ITALIAN Nels Margreid Hill Pinot Grigio Alto Adige, 2021   80"
Austin,Nido,wine by the glass,"Mosole Pinot Grigio Venezia, 2023                                                                       90"
Austin,Nido,wine by the glass,"GERMANY Weingut Spreitzer, Estate Trocken Riesling, Rheingau 2020                                70"
Austin,Nido,wine by the glass,"JJ Prüm “Wehlener Sonnenuhr” Kabinett  Riesling, Mosel 2018   129"
Austin,Nido,wine by the glass,"Meulenhof “Wehleer Sonnenuhr” Auslese  Riesling, Mosel 2018   78"
Austin,Nido,wine by the glass,AUSTRIA Weixelbaum “Wahre Werte” Pinot Blanc Niederösterrich 2022   75
