Wine Category,Producer,Subcategory,Region,Country,Price by Glass,Price by Bottle,Raw Description
,"Cristal lager, 4.6% abv 11.2oz, (peru) 6",Cusqueña lager,4.6% abv 11.2 oz,(peru) 6,,"Pacifico pilsner, 4.4% abv 12oz, (mexico) 6","Cusqueña lager, 4.6% abv 11.2 oz, (peru) 6"
,"cristal lager, 4.6% abv 11.2oz, (peru)					6",cusqueña lager,4.6% abv 11.2 oz,(peru)				6,,"pacifico pilsner, 4.4% abv 12oz, (mexico)				6","cusqueña lager, 4.6% abv 11.2 oz, (peru)				6"
,"Sierra Andina, Shaman IPA, 8% abv PERU 9",Sierra Andina,Pachacutec Imperial Ale,10.5% abv PERU 9,,"Japas Cervejaria, matsurika, jasmine flowers pilsner, BRASIL 9","Sierra Andina, Pachacutec Imperial Ale, 10.5% abv PERU 9"
,"Lawson’s finest, little sip, ipa 6.2% abv, VT 11",Singlecut,"18 watt ipa, 5.0% abv",NY	9,,"Four Quarters, Phaze, IPA 6.5% abv, 16 oz, VT 11","Singlecut, 18 watt ipa, 5.0% abv, NY	9"
,"Samuel Smith, Organic Lager, 5% abv, 12 oz Tadcater England 7",,,,,,
,"Cristal lager, 4.6% abv 11.2oz, (peru) 6",Cusqueña lager,4.6% abv 11.2 oz,(peru) 6,,"Pacifico pilsner, 4.4% abv 12oz, (mexico) 6","Cusqueña lager, 4.6% abv 11.2 oz, (peru) 6"
,"Cristal lager, 4.6% abv 11.2oz, (peru) 6",Cusqueña lager,4.6% abv 11.2 oz,(peru) 6,,"Pacifico pilsner, 4.4% abv 12oz, (mexico) 6","Cusqueña lager, 4.6% abv 11.2 oz, (peru) 6"
,"cristal lager, 4.6% abv 11.2oz, (peru)					6",cusqueña lager,4.6% abv 11.2 oz,(peru)				6,,"pacifico pilsner, 4.4% abv 12oz, (mexico)				6","cusqueña lager, 4.6% abv 11.2 oz, (peru)				6"
,"Sierra Andina, Shaman IPA, 8% abv PERU 9",Sierra Andina,Pachacutec Imperial Ale,10.5% abv PERU 9,,"Japas Cervejaria, matsurika, jasmine flowers pilsner, BRASIL 9","Sierra Andina, Pachacutec Imperial Ale, 10.5% abv PERU 9"
,"Lawson’s finest, little sip, ipa 6.2% abv, VT 11",Singlecut,"18 watt ipa, 5.0% abv",NY	9,,"Four Quarters, Phaze, IPA 6.5% abv, 16 oz, VT 11","Singlecut, 18 watt ipa, 5.0% abv, NY	9"
,"Samuel Smith, Organic Lager, 5% abv, 12 oz Tadcater England 7",,,,,,
,"Cristal lager, 4.6% abv 11.2oz, (peru) 6",Cusqueña lager,4.6% abv 11.2 oz,(peru) 6,,"Pacifico pilsner, 4.4% abv 12oz, (mexico) 6","Cusqueña lager, 4.6% abv 11.2 oz, (peru) 6"
,"cristal lager, 4.6% abv 11.2oz, (peru)					6",cusqueña lager,4.6% abv 11.2 oz,(peru)				6,,"pacifico pilsner, 4.4% abv 12oz, (mexico)				6","cusqueña lager, 4.6% abv 11.2 oz, (peru)				6"
,"Sierra Andina, Shaman IPA, 8% abv PERU 9",Sierra Andina,Pachacutec Imperial Ale,10.5% abv PERU 9,,"Japas Cervejaria, matsurika, jasmine flowers pilsner, BRASIL 9","Sierra Andina, Pachacutec Imperial Ale, 10.5% abv PERU 9"
,"Lawson’s finest, little sip, ipa 6.2% abv, VT 11",Singlecut,"18 watt ipa, 5.0% abv",NY	9,,"Four Quarters, Phaze, IPA 6.5% abv, 16 oz, VT 11","Singlecut, 18 watt ipa, 5.0% abv, NY	9"
,"Samuel Smith, Organic Lager, 5% abv, 12 oz Tadcater England 7",,,,,,
