Wine Category,Producer,Subcategory,Region,Country,Price by Glass,Price by Bottle,Raw Description
WINE,WINE BY THE GLASS,‘21 Finca Arantei,Albarino,Rias Baixas SP	15,,"$‘21 Gaspard, Chenin Blanc, Loire Valley FR	14","‘21 Finca Arantei, Albarino,Rias Baixas SP	15"
WINE,WINE BY THE GLASS,,,,,,
WINE,,,,,,,
WINE,"‘22 Passionate Wines, Del Mono Blanco Sauvignon Blanc, AR 13",‘21 Finca Arantei,Albarino,Rias Baixas SP	15,,"$‘21 Gaspard, Chenin Blanc, Loire Valley FR	14","‘21 Finca Arantei, Albarino,Rias Baixas SP	15"
WINE,,,,,,,
WINE,‘19 Pedro Parra 'Pencopolitano' Cinsault/Pais Itata CH 13,‘22 Passionate Wines,"Del Mono Tinto, Malbec",AR 13,,,"‘22 Passionate Wines, Del Mono Tinto, Malbec, AR 13"
WINE,,,,,,,
