Wine Type,Entry Type,Vintage,Producer,Designation,Country,Price ($),Raw Label
WHITE,By the Glass,22,Passionate Wines,Del Mono Blanco Sauvignon Blanc,AR,13,"‘22 Passionate Wines, Del Mono Blanco Sauvignon Blanc, AR 13"
WHITE,By the Bottle,21,Finca Arantei,Albarino,SP,15,"‘21 Finca Arantei, Albarino, Rias Baixas SP	15"
RED,By the Glass,19,Pedro Parra 'Pencopolitano' Cinsault/Pais Itata,,AR,13,"‘19 Pedro Parra 'Pencopolitano' Cinsault/Pais Itata, , AR 13"
RED,By the Glass,22,Oenogenesis,Mataroa Amber,GR,15,"‘22 Oenogenesis, Mataroa Amber, GR 15"
RED,By the Bottle,22,Basaurresti,Lahu Txokolina Rosato,SP,15,"‘22 Basaurresti, Lahu Txokolina Rosato, SP 15"
